Date,CSI500,Shanghai ,CSI300,HSI,STI,TWSE,MSCI World,S&P500,N225,LSE,ASX,Custom
2017-08-11,-0.2858,-1.6413,-1.6245,-2.4641,-1.4069,-1.6846,-1.53,-1.4337,-1.1156,-2.57,-0.2859,-1.557500499
2017-08-18,2.8603,1.8757,2.12,0.6103,-0.8455,-0.0798,-0.38,-0.646,-1.3144,2.7,2.8102,3.417992895
2017-08-25,0.2022,1.9212,1.9083,2.9599,0.2331,1.8813,0.73,0.7215,-0.0914,0.91,1.971,1.368107452
2017-09-01,4.1636,1.0685,0.9164,0.377,0.5427,0.7542,1.09,1.3712,1.2279,-0.18,-0.1459,-0.130214687
2017-09-08,2.7918,-0.0557,-0.1188,-1.0185,-1.486,0.1428,-0.06,-0.6105,-2.1159,-0.43,-4.1819,-0.228909108
2017-09-15,-0.7263,-0.3454,0.1387,0.5028,-0.5885,-0.2784,1.18,1.5763,3.2928,1.86,-0.3812,2.945650869
2017-09-22,-1.5478,-0.0325,0.1679,0.2623,0.3331,-1.2356,0.35,0.0796,1.9435,-1.49,0.7461,1.55751526
2017-09-29,-0.6001,-0.107,-0.032,-1.1701,-0.0106,-1.1459,0.3,0.685,0.2948,0.42,-0.4368,-1.862198156
2017-10-06,0,0,0,3.2799,2.2168,1.9639,0.67,1.1896,1.6429,0.67,0.8583,-10.28716409
2017-10-13,2.0827,1.2416,2.2025,0.0646,0.8453,1.816,0.69,0.1506,2.2448,0.87,1.8343,16.53048363
2017-10-20,-1.7883,-0.3502,0.1492,0.038,0.6514,0.0447,0.37,0.8632,1.4297,-2.57,0.65,0.22430815
2017-10-27,0.3585,1.1296,2.4222,-0.1699,1.3683,-0.1843,-0.05,0.2276,2.567,-1.88,0.0185,0.01035264
2017-11-03,-2.6096,-1.319,-0.7277,0.5793,-0.122,0.8559,0.53,0.2623,2.4112,-1.72,-0.2951,3.038199269
2017-11-10,3.1076,1.807,2.9858,1.8085,1.1173,-0.6305,-0.26,-0.2141,0.6313,0.22,0.8511,1.448160182
2017-11-17,-4.1034,-1.4498,0.2174,0.2683,-1.1029,-0.2891,-0.35,-0.1336,-1.2549,3.57,0.8806,0.401109753
2017-11-24,-0.8152,-0.8598,-0.404,2.2853,1.7671,1.4245,1.3,0.914,0.6878,-0.9,1.4184,1.826735581
2017-12-01,0.3724,-1.0795,-2.5843,-2.6521,0.2147,-2.3376,0.48,1.5293,1.1892,1.2,2.3848,-5.526036555
